0,68854
1,92865
2,101250
3,99166
4,99792
5,99792
6,99323
7,99062
8,99844
9,99740
10,99739
11,100261
12,100052
13,99948
14,100729
15,101562
16,98021
17,99792
18,99843
19,100209
20,99583
21,100156
22,100261
23,99844
24,100000
25,99635
26,100417
27,99948
28,99947
29,100053
30,99687
31,100208
32,100209
33,99948
34,99895
35,99740
36,100260
37,100053
38,99895
39,100157
40,99531
41,100573
42,99739
43,100105
44,100156
45,99531
46,100365
47,99948
48,100052
49,99843
50,99792
51,100104
52,100469
53,99740
54,100000
55,99479
56,100416
57,100000
58,100052
59,100105
60,99479
61,102448
62,100312
63,99740
64,98229
65,100833
66,99011
67,100000
68,99843
69,100157
70,99583
71,100208
72,100105
73,100104
74,99896
75,99687
76,100365
77,100052
78,100364
79,99532
80,99635
81,100521
82,99739
83,100157
84,99843
85,99740
86,100573
87,99896
88,99948
89,100000
90,99791
91,100209
92,100000
93,99843
94,100105
95,99791
96,100104
97,100105
98,100000
99,100104
100,99739
101,100209
102,100000
103,100000
104,99948
105,99687
106,100208
107,100261
108,99896
109,100052
110,99583
111,100365
112,99895
113,100209
114,99896
115,102500
116,97864
117,99844
118,99896
119,99896
120,99687
121,100365
122,99948
123,100104
124,99896
125,99687
126,100365
127,99896
128,99947
129,100105
130,99635
131,100677
132,99844
133,99844
134,100000
135,99583
136,100417
137,99948
138,100052
139,99948
140,99687
141,100313
142,100156
143,100208
144,99844
145,99583
146,100209
147,100156
148,99791
149,100157
150,99635
151,100365
152,99948
153,100000
154,99843
155,99740
156,100312
157,100053
158,99947
159,100105
160,99635
161,100365
162,99948
163,100156
164,100052
165,100781
166,99479
167,99948
168,100000
169,99896
170,99375
171,100365
172,100156
173,99896
174,100000
175,99583
176,100469
177,99948
178,100156
179,99740
180,99635
181,100677
182,99688
183,99947
184,100209
185,99323
186,100781
187,99948
188,100104
189,99948
190,99583
191,100313
192,100000
193,100156
194,99948
195,99375
196,100625
197,100104
198,99844
199,100000
200,99583
201,100313
202,100104
203,99948
204,100052
205,99479
206,100417
207,100052
208,99948
209,100260
210,99427
211,100469
212,99844
213,100364
214,99532
215,102187
216,98333
217,99688
218,99948
219,99896
220,99531
221,100677
222,100104
223,100104
224,99844
225,99323
226,100729
227,99792
228,100000
229,99896
230,99479
231,100521
232,100052
233,99896
234,100208
235,99427
236,100469
237,99948
238,100208
239,99792
240,99739
241,100313
242,99948
243,100104
244,99948
245,99531
246,100469
247,99843
